Notes:
"When exporting your connection data from LinkedIn, these notes apply."

First Name,Last Name,URL,Email Address,Company,Position,Connected On
Ada,Owner,https://www.linkedin.com/in/ada-owner,,Harbor Hotels Group,Managing Partner,15 Jan 2019
Ben,Broker,https://www.linkedin.com/in/ben-broker,ben.broker@example.com,JLL Hotels,Senior Managing Director,03 Mar 2020
Cara,NoCompany,https://www.linkedin.com/in/cara-nocompany,,,Advisor,12 Jun 2021
Dan,NoTitle,https://www.linkedin.com/in/dan-notitle,,Coastal Development,,01 Aug 2018
Eve,DupOne,https://www.linkedin.com/in/eve-duplicate,,Alpha Capital,Partner,10 Oct 2017
Eve,DupTwo,https://www.linkedin.com/in/eve-duplicate,,Alpha Capital,Managing Partner,11 Oct 2022
Frank,Collision,,,Same Name LLC,President,not-a-date
Frank,Collision,,,Other Co,Director,05 May 2016
,,,
Hank,Valid,https://linkedin.com/in/hank-valid/,hank@example.com,Grupo Riviera,CEO,2020-02-01
,,,,Somewhere Inc,Title Only,01 Jan 2020
